id,mentee_id,mentor_id,rating,description,created_at,updated_at
b22716c0-5aec-474c-af7d-ba77231699ea,87cf116e-f009-488b-83a2-22cd863e07eb,7ae19313-afee-4084-a3c3-b9847914ffe9,2.6,offered great resources and tips for learning fb4d34f5-5655-488b-af92-af7e30186108.,2025-01-01 01:10:45,2025-01-04 01:10:45
0ca56628-0738-4279-95b6-0a0321a6346a,773c7263-dbcd-4726-9950-e29999e7a096,1e97ec0e-9bb1-4a28-98f9-34faf49fc823,4.0,"gave in-depth explanations on 8087767b-17c4-48ab-b441-9889745d71fd, which enhanced my understanding.",2024-11-07 01:10:45,2024-11-14 01:10:45
04e0eb4a-5bd1-4c32-97b0-58b805d4ad8a,5493549a-3955-4778-b510-f6dc1c636275,4aaa3aa5-a3c7-46cb-9b84-01195de0e3de,4.8,"was very patient and knowledgeable about 6f65fa0d-a7be-4ed3-83b2-541475f70ccf, making the sessions engaging.",2024-07-04 01:10:45,2024-08-02 01:10:45
48d7cfe6-8cb4-4339-a669-59844db00193,34769ef7-c6a0-4490-8742-460de266f29e,a9f6601c-553a-448c-98ff-35e10d688e2f,1.7,mentored me in 24196572-14fe-4e28-a64e-3a8adf3d2070 with real-world examples and applications.,2024-02-16 01:10:45,2024-02-28 01:10:45
fc137e08-9c1f-4418-9823-732b39cdef94,0ea6edc2-c1d3-44b3-8818-b8cf9b981145,48d1a38f-7245-445b-a6c1-91416309cde8,3.5,"gave in-depth explanations on bf3c7ae2-d1af-4611-aba8-fd7a41dd453d, which enhanced my understanding.",2025-01-25 01:10:45,2025-02-03 01:10:45
9302ddf9-208a-4cb2-9c0f-fb9b6f139eca,e9335f6e-4352-4c25-b1e4-9af5e91e2dfb,2cdcdb40-0901-4ee1-a182-a9b46929bf0d,4.4,offered great resources and tips for learning feb5c3ab-3d0d-4e4b-88ca-315bd55bd204.,2024-12-28 01:10:45,2024-12-31 01:10:45
844e8675-634c-4fb4-95f8-92a70adbe485,cd6b4ab2-6bbe-430e-afc3-40b1465708c6,ccb4ee3b-b2b6-478a-b64d-1a6c4000a74b,2.7,mentored me in c403b058-8e71-4ccf-a0fc-37f5e36e97f6 with real-world examples and applications.,2024-10-11 01:10:45,2024-11-04 01:10:45
81e95459-b5c6-476e-abce-d0ac13551fa6,281148d4-4111-4eb8-8588-8ca7078aa1e6,c533b910-1f4c-4de4-aaa0-3f49dabad681,1.7,helped me improve my skills in 70cadcfa-bc6a-4770-8b0e-849e292c8421 with practical advice.,2024-05-21 01:10:45,2024-06-05 01:10:45
4401c7d1-ef0d-4a2c-ac36-07e7304d96d2,be5e5e65-d15f-4b01-9eb7-d130fc88eaae,ec95c2a7-d095-40f1-8e35-54215aeab6e5,2.7,"was very patient and knowledgeable about 6511a8e1-fddf-47a3-8cd4-4b1a90770842, making the sessions engaging.",2024-10-24 01:10:45,2024-11-09 01:10:45
84bb3a67-46b7-401a-b491-3dfe11b403ce,96c926a9-3289-483c-ba35-1fe6936848d6,5ae7c62b-1731-47af-b645-6ecf6964e51f,3.2,"shared valuable insights on 8087767b-17c4-48ab-b441-9889745d71fd, which helped in my project.",2024-03-19 01:10:45,2024-03-30 01:10:45
